Wavelength,1,2,3,4,5,6,7,8,9,10
1.02755,0.153266,0.144722,0.161893,0.180214,0.146096,0.149696,0.153431,0.150224,0.145908,0.150716
1.0341,0.154353,0.145052,0.163082,0.181172,0.146971,0.150598,0.153922,0.151215,0.146681,0.151702
1.04065,0.15388,0.144312,0.162648,0.181459,0.146083,0.150082,0.153522,0.151224,0.146044,0.151059
1.0472,0.153084,0.143519,0.161593,0.180803,0.145094,0.14903,0.152719,0.150306,0.145415,0.150524
1.05375,0.152673,0.143173,0.161714,0.180303,0.14496,0.149009,0.152542,0.150335,0.144904,0.150542
1.0603,0.152678,0.143019,0.161435,0.180432,0.144603,0.148726,0.152387,0.150348,0.145036,0.150276
1.06685,0.152487,0.142222,0.161152,0.180356,0.143865,0.148288,0.151975,0.150123,0.144457,0.150146
1.07341,0.152574,0.142187,0.161078,0.180229,0.143921,0.148299,0.152204,0.150564,0.14501,0.150057
1.07996,0.151437,0.14156,0.159808,0.179001,0.142884,0.147596,0.151225,0.149417,0.143775,0.149155
1.08651,0.152275,0.141947,0.160793,0.179929,0.143486,0.148128,0.152066,0.150125,0.144444,0.149765
1.09307,0.152501,0.142397,0.161204,0.180363,0.143953,0.148505,0.152336,0.150346,0.144494,0.150104
1.09962,0.153418,0.143352,0.162248,0.181573,0.145189,0.149532,0.153719,0.151321,0.145828,0.151266
1.10617,0.15348,0.143532,0.162409,0.182133,0.145088,0.149805,0.154112,0.151843,0.145974,0.151367
1.11273,0.153607,0.143629,0.162835,0.18222,0.145151,0.149956,0.154393,0.151903,0.146257,0.151567
1.11928,0.153557,0.144039,0.162858,0.182387,0.145332,0.15023,0.154658,0.152066,0.146361,0.151331
1.12584,0.153872,0.143942,0.163226,0.18295,0.145689,0.150678,0.154785,0.15272,0.146813,0.151764
1.13239,0.153829,0.144047,0.163265,0.182756,0.1456,0.150574,0.154835,0.152457,0.146579,0.15169
1.13895,0.153302,0.143703,0.162934,0.182429,0.145276,0.150192,0.154339,0.152001,0.146309,0.151589
1.14551,0.153359,0.143697,0.163405,0.182784,0.14514,0.150399,0.154513,0.152407,0.14646,0.151539
1.15206,0.153555,0.143671,0.163156,0.182961,0.145367,0.150549,0.154849,0.15245,0.146524,0.151697
1.15862,0.153159,0.143396,0.162882,0.183043,0.145,0.150112,0.154618,0.152265,0.146384,0.151371
1.16518,0.152814,0.143261,0.162766,0.182907,0.144756,0.150173,0.154445,0.15228,0.146091,0.151282
1.17173,0.152826,0.143535,0.163012,0.183121,0.14489,0.149923,0.154416,0.152315,0.146209,0.151034
1.17829,0.152628,0.142918,0.162616,0.182789,0.144314,0.14948,0.154345,0.151753,0.145785,0.150882
1.18485,0.151977,0.14263,0.162862,0.182886,0.144623,0.149617,0.154278,0.151807,0.145686,0.150886
1.19141,0.152371,0.142841,0.162926,0.183274,0.144713,0.149848,0.154325,0.151813,0.146166,0.151048
1.19797,0.151494,0.141922,0.161958,0.182223,0.143355,0.148602,0.15341,0.15084,0.144844,0.15003
1.20453,0.150684,0.141252,0.161512,0.182039,0.142901,0.148336,0.153046,0.150609,0.14441,0.149553
1.21109,0.151277,0.141382,0.161976,0.182344,0.143149,0.148544,0.15365,0.151054,0.144666,0.149611
1.21765,0.150021,0.140891,0.16153,0.181738,0.142539,0.147883,0.153,0.150359,0.144223,0.149003
1.22421,0.150558,0.141016,0.161901,0.182159,0.142864,0.148177,0.153359,0.150642,0.144436,0.149189
1.23077,0.151587,0.141779,0.162858,0.183679,0.14365,0.148873,0.154335,0.151364,0.145169,0.150103
1.23733,0.151493,0.142107,0.162856,0.183972,0.143835,0.149345,0.154338,0.151679,0.145374,0.150264
1.24389,0.151263,0.142169,0.163328,0.183919,0.143957,0.149365,0.15456,0.15169,0.145552,0.15017
1.25045,0.152048,0.142434,0.163994,0.184832,0.14425,0.149737,0.155249,0.152105,0.145908,0.150742
1.25701,0.151623,0.142123,0.16364,0.184632,0.144038,0.149811,0.155065,0.152355,0.145637,0.150431
1.26357,0.152002,0.142596,0.164115,0.185053,0.144235,0.150121,0.155527,0.152573,0.14605,0.150855
1.27014,0.152746,0.143348,0.165531,0.186567,0.145522,0.151334,0.156829,0.153625,0.1473,0.151881
1.2767,0.1527,0.143189,0.16542,0.186689,0.145013,0.150806,0.156799,0.153419,0.146874,0.151723
1.28326,0.152286,0.142702,0.164937,0.186514,0.144565,0.150482,0.156534,0.153124,0.146336,0.151015
1.28983,0.152589,0.143108,0.165641,0.187525,0.144919,0.150854,0.157363,0.153782,0.146929,0.151602
1.29639,0.15257,0.143047,0.165816,0.187588,0.145024,0.15069,0.157474,0.15403,0.146927,0.151728
1.30295,0.15238,0.1428,0.165977,0.18782,0.144744,0.150905,0.157979,0.154188,0.146972,0.15179
1.30952,0.152126,0.142435,0.165577,0.187407,0.144394,0.150613,0.157569,0.15401,0.146657,0.151239
1.31608,0.151702,0.142227,0.165388,0.187424,0.14446,0.150289,0.157829,0.153748,0.146675,0.151036
1.32265,0.152501,0.143518,0.166495,0.188839,0.145195,0.151651,0.158997,0.155034,0.147726,0.152332
1.32921,0.152921,0.143428,0.166689,0.18934,0.145362,0.151649,0.159454,0.154757,0.14755,0.152054
1.33578,0.153079,0.143515,0.167198,0.189471,0.145735,0.152085,0.160065,0.155376,0.148032,0.152402
1.34234,0.153207,0.14356,0.167571,0.190326,0.145822,0.15245,0.160748,0.155839,0.148306,0.152744
1.34891,0.153484,0.144377,0.168319,0.191127,0.146643,0.152954,0.161639,0.156555,0.149125,0.153586
1.35548,0.154596,0.1454,0.169561,0.192634,0.147176,0.154096,0.162617,0.157406,0.149793,0.154315
1.36205,0.154555,0.145164,0.169411,0.192569,0.147223,0.154244,0.163068,0.157723,0.149977,0.154503
1.36861,0.15356,0.14413,0.168485,0.191473,0.146139,0.153088,0.162295,0.15684,0.149065,0.153416
1.37518,0.15367,0.144576,0.169127,0.192287,0.146643,0.153746,0.163134,0.157472,0.149563,0.15399
1.38175,0.154054,0.144806,0.169426,0.192805,0.146855,0.153831,0.162576,0.157679,0.149986,0.1539
1.38832,0.153188,0.144135,0.168267,0.191196,0.145997,0.153038,0.161316,0.156564,0.148987,0.153323
1.39489,0.153884,0.14464,0.16848,0.191474,0.146615,0.153847,0.162223,0.157446,0.149853,0.154186
1.40145,0.15409,0.144741,0.168453,0.191732,0.146918,0.154258,0.163067,0.157788,0.150161,0.154545
1.40802,0.154055,0.144616,0.168241,0.190898,0.146724,0.154104,0.163484,0.15784,0.15006,0.154232
1.41459,0.153599,0.144879,0.168313,0.190514,0.146887,0.15426,0.164241,0.15801,0.150333,0.154501
1.42116,0.153787,0.14495,0.168571,0.190917,0.14687,0.154468,0.164725,0.158106,0.150437,0.154346
1.42773,0.152886,0.143781,0.167654,0.190018,0.14602,0.153764,0.164608,0.157619,0.149691,0.153613
1.43431,0.152414,0.143456,0.167691,0.190787,0.145529,0.153396,0.164761,0.157655,0.149379,0.153422
1.44088,0.152096,0.143529,0.167995,0.191066,0.145625,0.153292,0.165063,0.157673,0.149431,0.153181
1.44745,0.153157,0.144262,0.16943,0.192325,0.146398,0.154007,0.166478,0.158513,0.150334,0.154346
1.45402,0.152564,0.143912,0.16917,0.19236,0.146098,0.153991,0.166462,0.158227,0.150111,0.153684
1.46059,0.152752,0.144067,0.169543,0.193,0.14614,0.154082,0.167044,0.158663,0.150373,0.153895
1.46716,0.152852,0.143853,0.169654,0.193366,0.145945,0.154099,0.167399,0.158613,0.150155,0.153985
1.47374,0.152542,0.143629,0.169416,0.193459,0.145687,0.154095,0.167794,0.158691,0.150352,0.153889
1.48031,0.151958,0.143174,0.169078,0.19364,0.145292,0.153763,0.168111,0.158589,0.149907,0.153561
1.48688,0.150617,0.141911,0.168136,0.192156,0.144277,0.15239,0.166983,0.157118,0.148849,0.152311
1.49346,0.151226,0.142856,0.168954,0.193135,0.144752,0.153263,0.168019,0.157975,0.149673,0.153277
1.50003,0.150308,0.142061,0.168509,0.192988,0.144217,0.152841,0.168376,0.157541,0.149108,0.152626
1.50661,0.150716,0.142383,0.168734,0.193454,0.144465,0.152998,0.169005,0.15784,0.149376,0.15304
1.51318,0.15122,0.142705,0.169184,0.194393,0.144907,0.15364,0.169798,0.158743,0.149836,0.153621
1.51976,0.151126,0.142318,0.169242,0.193856,0.144747,0.153575,0.169473,0.158248,0.149727,0.153199
1.52633,0.151018,0.142391,0.169609,0.194385,0.144471,0.153461,0.17,0.1584,0.149697,0.153372
1.53291,0.150791,0.142237,0.169369,0.194069,0.144388,0.153472,0.170108,0.158254,0.149599,0.152961
1.53948,0.150784,0.14217,0.169668,0.194395,0.144393,0.153519,0.170409,0.158677,0.149637,0.153334
1.54606,0.151684,0.14297,0.170488,0.195771,0.14513,0.154383,0.172065,0.159613,0.150593,0.154392
1.55264,0.151422,0.143017,0.170914,0.195884,0.144939,0.154075,0.171913,0.159485,0.150591,0.154196
1.55921,0.150586,0.142524,0.169994,0.194824,0.144648,0.153675,0.171404,0.158943,0.150137,0.15357
1.56579,0.150135,0.1418,0.169656,0.194571,0.144171,0.153114,0.171428,0.158624,0.149571,0.153216
1.57237,0.149451,0.140994,0.168653,0.193783,0.143147,0.152424,0.17091,0.157911,0.148805,0.152373
1.57895,0.150405,0.14182,0.1697,0.195283,0.144027,0.153111,0.172433,0.158555,0.149418,0.153146
1.58552,0.150808,0.142196,0.170621,0.196174,0.145048,0.153872,0.173155,0.15939,0.150403,0.15383
1.5921,0.150107,0.141581,0.169683,0.194965,0.143953,0.152798,0.172229,0.158824,0.1496,0.153001
1.59868,0.148925,0.140792,0.168934,0.194121,0.14308,0.152152,0.171508,0.157735,0.148745,0.1522
1.60526,0.148912,0.140723,0.168846,0.194563,0.142947,0.152362,0.171784,0.158007,0.14867,0.15243
1.61184,0.150293,0.141748,0.170293,0.195917,0.144189,0.153472,0.173252,0.159097,0.149909,0.153627
1.61842,0.150667,0.142253,0.170966,0.196764,0.144516,0.153778,0.17411,0.159404,0.150335,0.154117
1.625,0.150149,0.14208,0.170473,0.196082,0.144269,0.153127,0.1736,0.159546,0.150138,0.153674
1.63158,0.150393,0.142197,0.170777,0.196765,0.144175,0.153707,0.174155,0.15958,0.150181,0.153955
1.63816,0.151056,0.142587,0.171217,0.197357,0.144849,0.15395,0.174541,0.160063,0.150589,0.15413
1.64474,0.151023,0.142828,0.172088,0.198294,0.145183,0.154652,0.174487,0.16013,0.15117,0.15469
1.65133,0.149887,0.14188,0.1706,0.196819,0.143953,0.153104,0.172657,0.158938,0.149569,0.15353
1.65791,0.147126,0.138999,0.166753,0.19285,0.141095,0.149779,0.169331,0.155961,0.146519,0.150415
1.66449,0.148029,0.139894,0.168239,0.194264,0.142045,0.150633,0.171526,0.156959,0.147802,0.151714
1.67107,0.149009,0.140658,0.169766,0.195718,0.142934,0.152049,0.173283,0.158672,0.149286,0.153144
1.67766,0.149083,0.140706,0.170263,0.195722,0.142971,0.152427,0.173863,0.158649,0.149265,0.153267
1.68424,0.148354,0.139907,0.169152,0.194839,0.142205,0.151923,0.173082,0.157819,0.148479,0.152453
1.69082,0.14841,0.139863,0.169105,0.195304,0.142352,0.151547,0.172872,0.157897,0.148458,0.152404
1.69741,0.148758,0.140457,0.170151,0.196413,0.142492,0.152301,0.173874,0.158355,0.149216,0.152986
1.70399,0.149496,0.141062,0.170986,0.197269,0.143206,0.15291,0.174193,0.159119,0.149882,0.153436
1.71058,0.148943,0.140366,0.170656,0.196804,0.14284,0.152458,0.174092,0.1586,0.149559,0.153282
1.71716,0.14854,0.140299,0.170186,0.196778,0.14262,0.152151,0.17382,0.158432,0.149304,0.152732
1.72375,0.148526,0.140142,0.170107,0.196768,0.142507,0.152131,0.173848,0.15829,0.149068,0.15301
1.73033,0.148229,0.140044,0.16987,0.196388,0.142254,0.152076,0.173758,0.158236,0.148914,0.152549
1.73692,0.148247,0.139872,0.169914,0.196199,0.141979,0.151857,0.173701,0.158189,0.148776,0.152666
1.74351,0.148238,0.139925,0.169816,0.196197,0.141913,0.151805,0.173745,0.158049,0.148768,0.152581
1.75009,0.147922,0.139606,0.169297,0.196352,0.141685,0.15162,0.173517,0.157817,0.148585,0.152507
1.75668,0.147748,0.139525,0.169045,0.196139,0.141554,0.151492,0.173344,0.157606,0.148475,0.152339
1.76327,0.147562,0.139228,0.1693,0.196024,0.141208,0.151315,0.173196,0.157408,0.148206,0.15202
1.76985,0.14749,0.138923,0.169222,0.195854,0.141248,0.151098,0.173043,0.157311,0.148134,0.151914
1.77644,0.146941,0.138809,0.168911,0.195725,0.141182,0.150678,0.172924,0.157147,0.147955,0.151745
1.78303,0.147074,0.138882,0.168876,0.195454,0.140862,0.150678,0.172617,0.156889,0.147824,0.151682
1.78962,0.146773,0.138847,0.168692,0.195148,0.140621,0.150647,0.172296,0.156858,0.147513,0.151587
1.79621,0.14669,0.138398,0.168626,0.195386,0.140516,0.150419,0.172368,0.156662,0.147466,0.151407
1.8028,0.146438,0.138416,0.168629,0.195249,0.140529,0.150279,0.172183,0.156602,0.147479,0.15154
1.80939,0.146598,0.138489,0.168894,0.195406,0.140771,0.150151,0.1722,0.156556,0.147208,0.151444
1.81598,0.146368,0.138332,0.168619,0.195283,0.140422,0.15031,0.172139,0.156536,0.147535,0.151343
1.82257,0.146657,0.138424,0.168329,0.195514,0.140531,0.1505,0.172252,0.156305,0.147479,0.151316
1.82916,0.146092,0.138046,0.168252,0.195302,0.140106,0.150084,0.171967,0.156344,0.147098,0.150992
1.83575,0.146041,0.137791,0.167672,0.195279,0.139687,0.149773,0.171965,0.155941,0.14706,0.150868
1.84234,0.145915,0.137719,0.167853,0.19507,0.139771,0.149871,0.171447,0.155947,0.147002,0.150623
1.84893,0.14584,0.137651,0.167719,0.194723,0.139665,0.14968,0.17122,0.155485,0.146911,0.150687
1.85552,0.145418,0.137387,0.167348,0.194412,0.13922,0.149292,0.170797,0.155272,0.146646,0.150316
1.86212,0.145225,0.137294,0.16742,0.194488,0.139035,0.149421,0.170586,0.155057,0.14666,0.150479
1.86871,0.145154,0.137219,0.16684,0.194149,0.139316,0.149118,0.170146,0.154787,0.14633,0.150042
1.8753,0.14523,0.137011,0.166134,0.193211,0.139092,0.149,0.169509,0.154872,0.146232,0.149983
1.8819,0.144964,0.136576,0.164939,0.192134,0.1386,0.14833,0.168286,0.154345,0.145954,0.149652
1.88849,0.144588,0.136553,0.163601,0.190619,0.138185,0.148111,0.16672,0.153852,0.145899,0.149403
1.89508,0.144514,0.136007,0.161954,0.188323,0.138095,0.147601,0.16568,0.152872,0.145294,0.149151
1.90168,0.144371,0.135608,0.160682,0.185972,0.137795,0.147,0.164069,0.152326,0.145046,0.148702
1.90827,0.144397,0.135374,0.159837,0.183424,0.13751,0.146757,0.16276,0.151505,0.144599,0.148764
1.91487,0.144007,0.135228,0.159961,0.182349,0.137414,0.146464,0.16179,0.150963,0.144665,0.148576
1.92146,0.143728,0.135191,0.159869,0.182024,0.137248,0.146665,0.16163,0.150922,0.144699,0.148128
1.92806,0.14341,0.134883,0.160025,0.182279,0.137071,0.146312,0.161352,0.150714,0.144503,0.148178
1.93465,0.142918,0.134144,0.159307,0.182345,0.136253,0.145502,0.160965,0.15028,0.143892,0.147223
1.94125,0.141589,0.13287,0.158497,0.181548,0.135403,0.144602,0.160283,0.149563,0.143075,0.146298
1.94785,0.140393,0.131412,0.157219,0.180897,0.133836,0.14328,0.159688,0.148454,0.141736,0.144565
1.95444,0.139667,0.130785,0.1569,0.181013,0.133235,0.142646,0.159241,0.148258,0.141064,0.14412
1.96104,0.140089,0.131696,0.158628,0.18282,0.134111,0.143548,0.160252,0.149213,0.141957,0.144589
1.96764,0.141397,0.132847,0.159641,0.184828,0.134731,0.144598,0.161529,0.150485,0.143121,0.146058
1.97424,0.142047,0.133115,0.160576,0.185468,0.135484,0.145236,0.162083,0.15137,0.143498,0.146551
1.98084,0.14179,0.133333,0.16104,0.185961,0.135452,0.145164,0.162186,0.151279,0.143862,0.146787
1.98743,0.141683,0.132875,0.161003,0.186099,0.13542,0.145056,0.161995,0.15109,0.143827,0.146581
1.99403,0.141922,0.133021,0.161139,0.186984,0.135303,0.145049,0.162435,0.151375,0.143897,0.146782
2.00063,0.142036,0.133138,0.160758,0.187086,0.135267,0.144945,0.162499,0.151314,0.143593,0.146648
2.00723,0.141596,0.132889,0.160575,0.18633,0.135265,0.144733,0.16211,0.151035,0.143268,0.146015
2.01383,0.140892,0.132122,0.160546,0.185797,0.134793,0.144133,0.162379,0.150642,0.142847,0.145614
2.02043,0.140237,0.131243,0.160673,0.186844,0.133718,0.143555,0.162061,0.150224,0.142379,0.144982
2.02703,0.139708,0.13095,0.15993,0.186225,0.13327,0.143277,0.161432,0.149905,0.141764,0.144429
2.03363,0.139961,0.131002,0.160148,0.186361,0.133194,0.143283,0.16167,0.149917,0.14177,0.144616
2.04024,0.139526,0.130628,0.159656,0.186041,0.132806,0.142875,0.161154,0.149569,0.141407,0.144173
2.04684,0.138004,0.129669,0.158775,0.185202,0.132298,0.141882,0.160557,0.148253,0.140182,0.143235
2.05344,0.137289,0.129295,0.158183,0.18485,0.131572,0.141861,0.160331,0.147906,0.139704,0.142486
2.06004,0.137994,0.129284,0.158917,0.18543,0.131916,0.142551,0.16064,0.148517,0.139779,0.142856
2.06664,0.138086,0.129535,0.159023,0.185663,0.131892,0.142415,0.161093,0.148569,0.140564,0.143024
2.07325,0.139027,0.130304,0.159995,0.186239,0.132778,0.142774,0.161551,0.149399,0.141287,0.143685
2.07985,0.139248,0.130694,0.160459,0.187093,0.133073,0.14299,0.161617,0.149731,0.141414,0.143949
2.08645,0.139247,0.130856,0.160505,0.187207,0.133428,0.143232,0.161583,0.149508,0.141093,0.144277
2.09306,0.139546,0.131243,0.160895,0.188058,0.133411,0.14358,0.161882,0.149763,0.141281,0.14452
2.09966,0.139468,0.131034,0.161106,0.187958,0.133546,0.143494,0.161918,0.149996,0.141758,0.14438
2.10627,0.139299,0.13113,0.161047,0.187658,0.133482,0.143473,0.161727,0.149995,0.14132,0.144478
2.11287,0.13932,0.131071,0.161033,0.187515,0.133266,0.143494,0.161864,0.149652,0.141241,0.144351
2.11948,0.139153,0.131148,0.161056,0.188118,0.133456,0.143575,0.161267,0.149797,0.141101,0.144586
2.12608,0.139452,0.130895,0.160692,0.187485,0.13345,0.143407,0.161089,0.149557,0.140965,0.144586
2.13269,0.13915,0.130908,0.160754,0.187839,0.133385,0.143312,0.160804,0.149244,0.140781,0.144062
2.1393,0.139409,0.130843,0.160832,0.188292,0.133293,0.143338,0.160921,0.149616,0.140984,0.144441
2.1459,0.139247,0.130908,0.161011,0.188087,0.133488,0.143608,0.161115,0.149818,0.140974,0.1442
2.15251,0.139163,0.130734,0.160732,0.188065,0.133335,0.143354,0.161144,0.149414,0.140854,0.143907
2.15912,0.138868,0.130535,0.160538,0.187731,0.133219,0.143149,0.160706,0.149556,0.140582,0.144043
2.16572,0.138857,0.130756,0.160564,0.188145,0.133317,0.143216,0.160724,0.149519,0.140643,0.144192
